苹果 香蕉
手机 电话
牛奶 豆浆
面条 米粉
火车 高铁
飞机 火箭
医生 护士
老师 教授
警察 保安
厨师 面点师
西瓜 哈密瓜
葡萄 提子
橙子 橘子
草莓 蓝莓
面包 蛋糕
米饭 粥
饺子 包子
火锅 烧烤
咖啡 奶茶
可乐 雪碧
空调 风扇
冰箱 冰柜
电视 电脑
桌子 椅子
沙发 床
窗户 门
自行车 电动车
汽车 卡车
地铁 轻轨
公交 地铁
太阳 月亮
星星 行星
云朵 雾气
雨水 雪水
河流 湖泊
海洋 大海
山脉 丘陵
森林 树林
草地 草坪
花朵 花瓣
树叶 树枝
树根 树干
猫 狗
老虎 狮子
大象 犀牛
熊猫 棕熊
兔子 松鼠
鸟儿 麻雀
鱼儿 金鱼
蝴蝶 蜜蜂
蚂蚁 蜘蛛
蛇 蜥蜴
青蛙 蛤蟆
眼睛 眉毛
鼻子 嘴巴
耳朵 脸颊
头发 胡须
手指 脚趾
心脏 肝脏
皮肤 肌肉
骨头 关节
红色 橙色
黄色 金色
绿色 青色
蓝色 紫色
白色 黑色
灰色 银色
粉色 桃色
开心 快乐
难过 悲伤
生气 愤怒
害怕 恐惧
惊讶 震惊
无聊 寂寞
兴奋 激动
紧张 焦虑
舒服 舒适
漂亮 美丽
帅气 英俊
可爱 萌
聪明 智慧
愚蠢 笨蛋
勇敢 大胆
胆小 怯懦
善良 仁慈
邪恶 恶毒
诚实 真诚
虚伪 假装
勤奋 努力
懒惰 懒散
干净 整洁
脏乱 邋遢
富裕 有钱
贫穷 贫困
简单 容易
困难 复杂
便宜 廉价
昂贵 贵重
新鲜 新颖
陈旧 古老
明亮 光亮
黑暗 昏暗
安静 宁静
吵闹 喧哗
柔软 软和
坚硬 硬实
光滑 平滑
粗糙 毛糙
干燥 干爽
潮湿 湿润
温暖 暖和
寒冷 冰冷
炎热 酷热
凉快 凉爽
香甜 甜美
酸涩 酸楚
苦辣 辛辣
咸淡 盐味
清淡 素雅
浓重 浓烈
稀疏 稀少
密集 稠密
宽阔 宽广
狭窄 狭小
高大 魁梧
矮小 低矮
肥胖 臃肿
瘦削 精瘦
快慢 迅速
缓慢 迟缓
早晚 清晨
昼夜 日夜
春秋 季节
冬夏 寒暑
东西 物品
南北 方向
左右 旁边
上下 高低
前后 先后
里外 内外
远近 距离
真假 虚实
对错 正误
好坏 优劣
胜负 输赢
爱恨 情仇
恩仇 恩怨
买卖 交易
借贷 借款
来去 往返
出入 进出
开关 启闭
收发 接送
加减 增减
乘除 运算
大小 尺寸
多少 数量
轻重 重量
长短 长度
宽窄 宽度
厚薄 厚度
深浅 深度
高低 高度
快慢 速度
新旧 新旧
老少 年龄
男女 性别
父母 爹娘
兄弟 兄妹
姐妹 姐弟
夫妻 夫妇
子女 儿女
朋友 伙伴
同学 校友
同事 同仁
邻居 街坊
亲戚 亲属
家乡 故乡
国家 祖国
城市 都市
乡村 农村
街道 马路
学校 学院
医院 诊所
商店 超市
银行 钱庄
邮局 邮筒
图书馆 书店
电影院 剧院
公园 花园
广场 场地
体育馆 健身房
游泳池 浴池
厨房 灶间
卧室 寝室
客厅 堂屋
卫生间 厕所
阳台 露台
车库 车棚
电梯 楼梯
走廊 过道
墙壁 墙面
地板 地面
天花板 顶棚
屋顶 房顶
钥匙 锁具
门锁 门闩
窗户 窗台
窗帘 窗纱
床铺 被褥
枕头 枕芯
被子 毯子
床单 床罩
衣柜 衣橱
衣架 衣挂
镜子 镜面
梳子 篦子
毛巾 手帕
牙刷 牙膏
肥皂 香皂
洗发水 沐浴露
镜子 梳妆镜
钟表 时钟
手表 腕表
闹钟 闹铃
日历 月历
台灯 壁灯
电灯 灯泡
开关 按钮
插座 插孔
电线 电缆
电池 电瓶
手机 移动电话
电脑 计算机
笔记本 笔记本电脑
平板 平板电脑
键盘 按键
鼠标 滑鼠
屏幕 显示屏
打印机 复印机
扫描仪 扫描器
相机 照相机
摄像机 录像机
电视 电视机
遥控器 遥控板
音响 音箱
耳机 耳麦
麦克风 话筒
充电器 适配器
数据线 传输线
网络 互联网
网站 网页
软件 程序
应用 APP
游戏 网游
视频 影片
音乐 歌曲
照片 图片
文件 文档
文件夹 目录
桌面 界面
图标 标识
菜单 目录栏
工具栏 工具条
窗口 视窗
浏览器 游览器
搜索引擎 检索引擎
邮箱 电子邮件
密码 口令
账号 账户
用户名 用户ID
头像 肖像
昵称 网名
签名 署名
评论 点评
点赞 夸奖
分享 转发
收藏 保存
下载 上传
搜索 查找
浏览 翻阅
点击 单击
双击 连击
滑动 滑屏
放大 扩大
缩小 缩小
旋转 转动
裁剪 剪切
复制 拷贝
粘贴 黏贴
删除 移除
撤销 取消
恢复 还原
保存 存储
打开 开启
关闭 关上
新建 创建
编辑 修改
打印 印刷
导出 输出
导入 输入
发送 寄送
接收 收取
回复 答复
转发 转寄
删除 删掉
清空 清空
全选 全选
复制 副本
剪切 裁剪
粘贴 贴上
撤销 撤消
重做 再做
查找 搜寻
替换 置换
定位 定址
跳转 跳转
刷新 更新
后退 返回
前进 向前
首页 主页
末页 尾页
上一页 前页
下一页 后页
页面 版面
标签 标记
书签 收藏夹
历史 记录
缓存 暂存
Cookie 小甜饼
缓存 快取
服务器 伺服器
客户端 客户机
主机 主机器
云端 云计算
数据库 资料库
表格 表单
图表 图形
曲线 曲线图
柱状 柱形
饼图 圆形图
报告 报表
合同 契约
协议 协定
发票 收据
票据 单据
证件 证明文件
身份证 身分证
护照 旅行证
驾照 驾驶执照
银行卡 金融卡
信用卡 签帐卡
会员卡 贵宾卡
门票 入场券
车票 交通票
机票 登机牌
船票 渡轮票
地铁票 捷运票
公交卡 悠游卡
火车票 铁路票
出租车 计程车
网约车 叫车服务
自行车 脚踏车
电动车 电单车
摩托车 机车
三轮车 三轮
滑板车 滑板
平衡车 电动平衡
轮椅 代步车
担架 抬架
救护车 急救车
消防车 救火车
警车 巡逻车
军车 军用车辆
货车 卡车
客车 巴士
轿车 小汽车
跑车 赛车
越野车 吉普车
面包车 厢型车
皮卡 小货车
房车 露营车
拖车 挂车
吊车 起重机
铲车 叉车
推土机 挖土机
挖掘机 怪手
压路机 碾路机
搅拌机 拌合机
起重机 吊机
升降机 电梯
传送带 输送带
流水线 生产线
机器人 机械人
机械臂 机器手臂
传感器 感应器
控制器 操控器
显示器 屏幕
指示灯 信号灯
警报器 警示器
灭火器 灭火筒
消防栓 消防龙头
安全门 逃生门
紧急出口 太平门
监控 监视器
摄像头 摄影机
报警器 警铃
门禁 出入管制
安检 安全检查
保安 警卫
门卫 门房
前台 接待处
大厅 大堂
走廊 通道
楼梯 阶梯
电梯 升降机
扶梯 电扶梯
天台 屋顶平台
地下室 地下层
停车场 停车处
车库 停车库
储藏室 储物间
配电室 电气室
机房 机器室
锅炉房 锅炉室
厨房 厨房间
餐厅 食堂
咖啡厅 咖啡馆
酒吧 酒廊
茶室 茶楼
包厢 包间
大厅 厅堂
舞台 表演台
观众席 观众区
后台 幕后
化妆间 梳妆室
更衣室 换衣间
休息室 休憩室
会议室 会客室
办公室 办事处
经理室 主管室
财务室 会计室
档案室 资料室
阅览室 阅读室
储藏室 库房
实验室 试验室
手术室 开刀房
病房 住院部
诊室 看诊室
药房 药局
挂号处 批价挂
收费处 缴费处
化验室 检验科
放射科 X光室
CT室 电脑断层
核磁 MRI
B超 超音波
心电图 ECG
脑电图 EEG
血压计 血压仪
体温计 温度计
听诊器 听筒
注射器 针筒
输液管 点滴管
绷带 纱布
胶布 胶带
棉签 棉花棒
口罩 面罩
手套 塑胶手套
帽子 帽子类
衣服 服装
裤子 长裤
裙子 裙装
外套 外衣
衬衫 衬衣
T恤 短袖衫
毛衣 毛线衣
羽绒服 羽绒外套
皮衣 皮外套
风衣 大衣
西装 西服
旗袍 唐装
汉服 古装
和服 日式服装
韩服 韩式服装
婚纱 结婚礼服
礼服 正式服装
运动服 体育服
泳衣 游泳衣
睡衣 寝衣
内衣 贴身衣物
袜子 短袜
鞋子  footwear
靴子 长筒靴
凉鞋 拖鞋
皮鞋 皮靴
运动鞋 球鞋
高跟鞋 高跟
拖鞋 室内鞋
围巾 领巾
领带 领结
腰带 皮带
手套 护手
帽子 帽类
眼镜 镜框
墨镜 太阳眼镜
手表 腕表
项链 颈链
耳环 耳饰
戒指 指环
手链 手镯
胸针 别针
发夹 发饰
皮带 腰带
钱包 皮夹
手提包 手袋
背包 双肩包
旅行箱 行李箱
雨伞 阳伞
扇子 折扇
镜子 化妆镜
梳子 发梳
化妆品 保养品
口红 唇膏
粉底 底妆
眼影 眼妆
睫毛膏 染眉膏
腮红 胭脂
香水 香精
护肤品 保养品
洗发水 洗发精
护发素 润丝精
沐浴露 沐浴乳
香皂 肥皂
牙膏 牙粉
牙刷 刷牙
毛巾 浴巾
纸巾 卫生纸
湿巾 湿纸巾
棉签 棉花棒
创可贴 OK绷
药丸 药片
药水 药液
药膏 软膏
维生素 维他命
补品 保健品
茶叶 茶水
咖啡 咖啡豆
巧克力 可可
糖果 糖
饼干 糕点
蛋糕 蛋饼
面包 吐司
三明治 三文治
汉堡 汉堡包
披萨 比萨
热狗 热狗堡
薯条 炸薯条
炸鸡 炸鸡肉
寿司 日本料理
拉面 日本面条
炒饭 炒米饭
炒面 炒面条
饺子 水饺
汤圆 元宵
粽子 肉粽
月饼 中秋饼
年糕 糍粑
麻花 炸麻花
烧饼 烤饼
油条 油炸鬼
豆浆 豆奶
豆腐 豆花
豆干 豆腐干
腐竹 豆皮
粉丝 粉条
粉条 冬粉
米线 米粉
河粉 粿条
凉皮 面皮
凉粉 仙草
龟苓膏 烧仙草
双皮奶 炖奶
奶茶 珍珠奶茶
果汁 水果汁
汽水 碳酸饮料
酸奶 优格
冰淇淋 雪糕
布丁 果冻
蛋糕 糕点
蛋挞 蛋塔
泡芙 奶油泡
马卡龙 法式甜点
提拉米苏 意大利甜点
巧克力 朱古力
口香糖 泡泡糖
薄荷糖 清凉糖
棉花糖 绵花糖
棒棒糖 波板糖
核桃 胡桃
杏仁 巴旦木
腰果 鸡腰果
花生 落花生
瓜子 葵花籽
芝麻 胡麻
红豆 赤小豆
绿豆 青小豆
黄豆 大豆
黑豆 乌豆
豌豆 荷兰豆
蚕豆 胡豆
玉米 苞谷
小麦 麦子
大米 稻米
糯米 粘米
黑米 紫米
燕麦 麦片
荞麦 乌麦
高粱 蜀黍
小米 粟米
红薯 地瓜
土豆 马铃薯
芋头 芋艿
山药 淮山
萝卜 白萝卜
胡萝卜 红萝卜
白菜 大白菜
青菜 小白菜
菠菜 菠薐菜
芹菜 西芹
韭菜 扁菜
葱 青葱
姜 生姜
蒜 大蒜
辣椒 辣子
花椒 麻椒
八角 大料
桂皮 肉桂
香叶 月桂叶
孜然 安息茴香
茴香 小茴香
芝麻 脂麻
花生 长生果
豆腐 水豆腐
腐竹 豆筋
木耳 黑木耳
银耳 白木耳
香菇 冬菇
蘑菇 菌菇
平菇 侧耳
金针菇 金菇
杏鲍菇 刺芹菇
海带 昆布
紫菜 海苔
虾皮 虾米
鱼干 鱼片
肉干 肉脯
火腿 火腿肠
香肠 腊肠
腊肉 熏肉
培根 烟肉
牛排 牛扒
猪排 猪扒
羊排 羊扒
鸡腿 鸡腿肉
鸡翅 鸡翅膀
鸡爪 凤爪
鸭腿 鸭翅膀
鹅肝 鹅肝酱
鱼翅 鱼鳍
燕窝 燕菜
鲍鱼 鲍参
海参 海黄瓜
鱿鱼 枪乌贼
章鱼 八爪鱼
